"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
529354;83154;"Bratislava 35";2010-01-01;
529354;83155;"Bratislava 35";2010-01-01;
529346;83006;"Bratislava 36";2010-01-01;
529362;83107;"Bratislava 36";2010-01-01;
529346;83007;"Bratislava 37";2010-01-01;
529346;83101;"Bratislava 37";2010-01-01;
529397;84104;"Bratislava 4";2010-01-01;
529397;84105;"Bratislava 4";2010-01-01;
529419;84002;"Bratislava 42";2010-01-01;
529389;84101;"Bratislava 42";2010-01-01;
529389;84102;"Bratislava 42";2010-01-01;
529419;84103;"Bratislava 42";2010-01-01;
529427;84008;"Bratislava 48";2010-01-01;
529427;84106;"Bratislava 48";2010-01-01;
529371;84009;"Bratislava 49";2010-01-01;
529371;84107;"Bratislava 49";2010-01-01;
529371;84108;"Bratislava 49";2010-01-01;
529401;84110;"Bratislava 49";2010-01-01;
529460;85000;"Bratislava 5";2010-01-01;
529460;85101;"Bratislava 5";2010-01-01;
529460;85102;"Bratislava 5";2010-01-01;
529460;85103;"Bratislava 5";2010-01-01;
529460;85104;"Bratislava 5";2010-01-01;
529460;85105;"Bratislava 5";2010-01-01;
529460;85106;"Bratislava 5";2010-01-01;
529460;85107;"Bratislava 5";2010-01-01;
529494;85009;"Bratislava 59";2010-01-01;
529435;85110;"Bratislava 59";2010-01-01;
529443;85110;"Bratislava 59";2010-01-01;
529494;85110;"Bratislava 59";2010-01-01;
506842;91927;Brestovany;2010-01-01;
556661;91927;Brestovany;2010-01-01;
509591;02953;Breza;2010-01-01;
511269;98502;Breznička;2010-01-01;
511617;98502;Breznička;2010-01-01;
508497;97701;Brezno;2010-01-01;
508691;97701;Brezno;2010-01-01;
557251;97701;Brezno;2010-01-01;
508497;97703;"Brezno 3";2010-01-01;
504262;90613;"Brezová pod Bradlom";2010-01-01;
524239;08274;"Brezovica nad Torysou";2010-01-01;
524247;08274;"Brezovica nad Torysou";2010-01-01;
525308;08274;"Brezovica nad Torysou";2010-01-01;
525421;08274;"Brezovica nad Torysou";2010-01-01;
