kód;"ISO 3166-1";"ISO 3166-2";názov;eu;"platné od";"platné do"
666;PM;SPM;"Saint Pierre a Miquelon";0;2010-01-01;
222;SV;SLV;"Salvádorská republika";0;2010-01-01;
882;WS;WSM;"Samojský nezávislý štát";0;2010-01-01;
674;SM;SMR;"Sanmarínska republika";0;2010-01-01;
682;SA;SAU;"Saudskoarabské kráľovstvo";0;2010-01-01;
686;SN;SEN;"Senegalská republika";0;2010-01-01;
690;SC;SYC;"Seychelská republika";0;2010-01-01;
694;SL;SLE;"Sierraleonská republika";0;2010-01-01;
702;SG;SGP;"Singapurská republika";0;2010-01-01;
703;SK;SVK;"Slovenská republika";1;2010-01-01;
705;SI;SVN;"Slovinská republika";1;2010-01-01;
706;SO;SOM;"Somálska federatívna republika";0;2010-01-01;
784;AE;ARE;"Spojené arabské emiráty";0;2010-01-01;
826;GB;GBR;"Spojené kráľovstvo Veľkej Británie a Severného ĺrska";1;2010-01-01;
840;US;USA;"Spojené štáty americké";0;2010-01-01;
484;MX;MEX;"Spojené štáty mexické";0;2010-01-01;
580;MP;MNP;"Spoločenstvo ostrovov Severné Mariány";0;2010-01-01;
688;RS;SRB;"Srbská republika";0;2010-01-01;
144;LK;LKA;"Srílanská demokratická socialistická republika";0;2010-01-01;
140;CF;CAF;"Stredoafrická republika";0;2010-01-01;
729;SD;SDN;"Sudánska republika";0;2011-07-01;
740;SR;SUR;"Surinamská republika";0;2010-01-01;
744;SJ;SJM;"Svalbard a Jan Mayen";0;2010-01-01;
748;SZ;SWZ;"Svazijské kráľovstvo";0;2010-01-01;
654;SH;SHN;"Svätá Helena, Ascension a Tristan da Cunha";0;2010-01-01;
662;LC;LCA;"Svätá Lucia";0;2010-01-01;
336;VA;VAT;"Svätá Stolica (Vatikánsky mestský štát)";0;2010-01-01;
652;BL;BLM;"Svätý Bartolomej";0;2014-01-01;
663;MF;MAF;"Svätý Martin";0;2014-01-01;
534;SX;SXM;"Svätý Martin (holandská časť)";0;2014-01-01;
670;VC;VCT;"Svätý Vincent a Grenadíny";0;2010-01-01;
760;SY;SYR;"Sýrska arabská republika";0;2010-01-01;
090;SB;SLB;"Šalamúnove ostrovy";0;2010-01-01;
724;ES;ESP;"Španielske kráľovstvo";1;2010-01-01;
756;CH;CHE;"Švajčiarska konfederácia";0;2010-01-01;
752;SE;SWE;"Švédske kráľovstvo";1;2010-01-01;
762;TJ;TJK;"Tadžická republika";0;2010-01-01;
380;IT;ITA;"Talianska republika";1;2010-01-01;
834;TZ;TZA;"Tanzánijská zjednotená republika";0;2010-01-01;
016;AS;ASM;"Teritórium Americkej Samoy";0;2010-01-01;
334;HM;HMD;"Teritórium Heardovho ostrova a Macdonaldových ostrovov";0;2010-01-01;
166;CC;CCK;"Teritórium Kokosových ostrovov";0;2010-01-01;
574;NF;NFK;"Teritórium ostrova Norfolk";0;2010-01-01;
162;CX;CXR;"Teritórium Vianočného ostrova";0;2010-01-01;
764;TH;THA;"Thajské kráľovstvo";0;2010-01-01;
768;TG;TGO;"Togská republika";0;2010-01-01;
772;TK;TKL;"Tokelauské ostrovy";0;2010-01-01;
776;TO;TON;"Tongské kráľovstvo";0;2010-01-01;
788;TN;TUN;"Tuniská republika";0;2010-01-01;
792;TR;TUR;"Turecká republika";0;2010-01-01;
795;TM;TKM;Turkménsko;0;2010-01-01;
798;TV;TUV;Tuvalu;0;2010-01-01;
800;UG;UGA;"Ugandská republika";0;2010-01-01;
804;UA;UKR;Ukrajina;0;2010-01-01;
858;UY;URY;"Uruguajská východná republika";0;2010-01-01;
860;UZ;UZB;"Uzbecká republika";0;2010-01-01;
548;VU;VUT;"Vanuatská republika";0;2010-01-01;
862;VE;VEN;"Venezuelská bolívarovská republika";0;2010-01-01;
704;VN;VNM;"Vietnamská socialistická republika";0;2010-01-01;
626;TL;TLS;"Východotimorská demokratická republika";0;2010-01-01;
876;WF;WLF;"Wallis a Futuna";0;2010-01-01;
894;ZM;ZMB;"Zambijská republika";0;2010-01-01;
732;EH;ESH;"Západná Sahara";0;2010-01-01;
716;ZW;ZWE;"Zimbabwianska republika";0;2010-01-01;
