St. šk.,Obec,Stredná škola,Ulica
37998218,Žiar nad Hronom,Súkromná obchodná akadémia DSA,Nám. Matice slovenskej 23
37890085,Žiar nad Hronom,Stredná odborná škola obchodu a služieb,Jilemnického 1282
45022631,Žiar nad Hronom,Súkromná stredná odborná škola technická,Dr. Janského 10
160881,Žiar nad Hronom,Gymnázium Milana Rúfusa,J. Kollára 2
710274181,Malinovo,Spojená škola-Stredná odborná škola záhradnícka,Bratislavská 44
710172605,Senec,Spojená škola s vyučovacím jazykom maďarským-Stredná odborná škola ekonomická a pedagogická,Lichnerova 71
160326,Senec,Gymnázium Antona Bernoláka,Lichnerova 69
36064386,Senec,Stredná odborná škola automobilová a podnikania,Kysucká 14
44351,Veľký Meder,Obchodná akadémia,Bratislavská 38
51895951,Dunajská Streda,Súkromná stredná odborná škola ADVENTIM,Komenského ulica 1219/1
710278195,Dunajská Streda,Spojená škola-Stredná športová škola s vyučovacím jazykom maďarským,Nám. sv. Štefana 1533/3
710278187,Dunajská Streda,Spojená škola-Stredná odborná škola stavebná s vyučovacím jazykom maďarským,Gyulu Szabóa 1
710277776,Dunajská Streda,Spojená škola-Stredná odborná škola rozvoja vidieka s vyučovacím jazykom maďarským,Nám. sv. Štefana 1533/3
710277687,Dunajská Streda,Spojená škola-Stredná odborná škola informatiky a služieb s vyučovacím jazykom maďarským,Gyulu Szabóa 21
45014906,Dunajská Streda,Súkromné gymnázium s vyučovacím jazykom maďarským,Hlavná 21
37839403,Dunajská Streda,Súkromná stredná odborná škola s vyučovacím jazykom maďarským,Neratovické nám. 1916/16
891649,Dunajská Streda,Stredná odborná škola technická,Kračanská cesta 1240/36
160130,Dunajská Streda,Gymnázium Ármina Vámbéryho s vyučovacím jazykom maďarským,Nám. sv. Štefana 1190/4
17050090,Dunajská Streda,Gymnázium Ladislava Dúbravu,Smetanov háj 285/8
607312,Dunajská Streda,Stredná zdravotnícka škola,Športová 349/34
37839594,Zlaté Klasy,Súkromná stredná odborná škola,Trhovisko 776/1
710276290,Šamorín,Spojená súkromná škola QSI-Súkromné gymnázium Quality Schools International,Záhradnícka 1006/2
686476,Šamorín,Súkromná stredná odborná škola SD Jednota,Vinohradská 48
36082040,Šamorín,Súkromná hotelová akadémia SD Jednota,Vinohradská 48
17050103,Šamorín,Gymnázium Imre Madácha s vyučovacím jazykom maďarským,Slnečná 2
160407,Šamorín,Gymnázium M. R. Štefánika,Slnečná 2
158984,Galanta,Stredná odborná škola technická,Esterházyovcov 712/10
351873,Galanta,Stredná odborná škola obchodu a služieb,Z. Kodálya 765
