Odbor - kod,Odbor stred. školy
2940M09,potravinárstvo - potravinár/potravinárka - kvalitár/kvalitárka
2949M00,"výživa, ochrana zdravia a hodnotenie potravín"
2960K00,operátor/operátorka potravinárskej výroby
2982L00,potravinárska výroba
2982L01,potravinárska výroba - mäsová a údenárska výroba
2982L02,potravinárska výroba - pekárska a cukrárska výroba
2982L04,potravinárska výroba - mliekarenská výroba
2982L06,potravinárska výroba - mlynárska a cestovinárska výroba
2982L07,potravinárska výroba - spracúvanie cukru a perníka-špeciálne techniky
2982L08,"potravinárska výroba - výroba piva, sladu, nealkoholických nápojov a spracovanie minerálnych vôd"
2982L09,"potravinárska výroba - liehovarnícka výroba, výroba vína a nealkoholických nápojov"
3125L00,odevníctvo
3125M00,odevníctvo
3137K00,operátor/operátorka odevnej výroby
3139L00,textilný priemysel
3692M00,"geodézia, kartografia a kataster"
3739M00,elektrotechnika v doprave a telekomunikáciách
3756L00,poštová prevádzka
3757L00,dopravná prevádzka
3758K00,operátor/operátorka prevádzky a ekonomiky dopravy
3759K00,komerčný pracovník/komerčná pracovníčka v doprave
3760M00,prevádzka a ekonomika dopravy
3765M00,technika a prevádzka dopravy
3776K00,mechanik/mechanička lietadiel
3776K01,mechanik/mechanička lietadiel - mechanika
3776K02,mechanik/mechanička lietadiel - avionika
3778K00,technik/technička informačných a telekomunikačných technológií
3792K00,poštový manipulant
3916M00,životné prostredie
3917M00,technické a informatické služby
3917M01,technické a informatické služby - v hutníctve
3917M02,technické a informatické služby - v strojárstve
3917M03,technické a informatické služby - v elektrotechnike
3917M04,technické a informatické služby - v chémii
3917M05,technické a informatické služby - v textile a odevníctve
3917M06,technické a informatické služby - v stavebníctve
3917M07,technické a informatické služby - prevádzka a ekonomika železníc
3917M08,technické a informatické služby - mechanizácia a doprava v poľnohospodárstve
3917M09,technické a informatické služby - zasielateľstvo
3917M10,technické a informatické služby - odevníctvo
3917M11,technické a informatické služby - obuvníctvo
3917M12,technické a informatické služby - spracúvanie dreva
3917M13,technické a informatické služby - geológia a baníctvo
3917M14,technické a informatické služby - zdravotnícke služby
3918M00,technické lýceum
3965M00,bezpečnosť a ochrana zdravia pri práci
4210M00,agropodnikanie
4210M01,agropodnikanie - poľnohospodárska prevádzka
4210M03,agropodnikanie - podnikanie a služby na vidieku
4210M04,agropodnikanie - farmárstvo
4210M05,agropodnikanie - mechanizácia poľnohospodárskej výroby
4210M06,agropodnikanie - ekologické poľnohospodárstvo
4210M08,agropodnikanie - poľnohospodársky manažment
4210M11,agropodnikanie - agroturistika
4210M13,agropodnikanie - alternatívne poľnohospodárstvo
3231M00,výroba obuvi a galantérneho tovaru
3231M01,výroba obuvi a galantérneho tovaru - výroba obuvi
3231M02,výroba obuvi a galantérneho tovaru - výroba galantérneho tovaru
3243K00,operátor/operátorka kožiarskej výroby
3244K00,operátor/operátorka kožušníckej výroby
3248L00,kožiarstvo
3336M00,drevárstvo a nábytkárstvo
3336M01,drevárstvo a nábytkárstvo - drevárstvo
3336M02,drevárstvo a nábytkárstvo - nábytkárstvo
3336M03,drevárstvo a nábytkárstvo - čalúnnictvo
3336M04,drevárstvo a nábytkárstvo - manažment v drevárstve
3341K00,operátor/operátorka drevárskej a nábytkárskej výroby
3347L00,drevárska a nábytkárska výroba
3431M00,polygrafia
3431M01,polygrafia - polygrafická technológia
3431M02,polygrafia - grafika tlačovín
3432M00,obalová technika
3434K00,operátor/operátorka obalových materiálov
3446K00,grafik/grafička tlačových médií
3447K00,grafik/grafička digitálnych médií
3454L00,polygrafický priemysel
3650M00,staviteľstvo
3656K00,operátor/operátorka stavebnej výroby
3658K00,mechanik/mechanička stavebnoinštalačných zariadení
3659L00,stavebníctvo
3660L00,vodné hospodárstvo
4210M14,agropodnikanie - chovateľstvo hospodárskych zvierat
4210M15,agropodnikanie - plemenárstvo
4210M16,agropodnikanie - pestovateľstvo
4210M17,agropodnikanie - chov koní a jazdectvo
4211M00,záhradníctvo
4211M06,záhradníctvo - záhradnícke služby
4211M07,záhradníctvo - viazanie a aranžovanie kvetín
4211M16,záhradníctvo - záhradná a krajinárska tvorba
4211M17,záhradníctvo - viazačstvo a aranžérstvo
4211M26,záhradníctvo - sadovnícka a krajinárska tvorba
4215M00,rybárstvo
4219M00,lesníctvo
4219M01,lesníctvo - lesnícka prevádzka
4219M02,lesníctvo - krajinná ekológia
4227M00,vinohradníctvo a ovocinárstvo
4227M01,vinohradníctvo a ovocinárstvo - prevádzka
4227M02,vinohradníctvo a ovocinárstvo - podnikanie
4227M03,vinohradníctvo a ovocinárstvo - agroturistika
4228M00,záhradnícka výroba a služby
4236M00,ekonomika pôdohospodárstva
4243M00,mechanizácia pôdohospodárstva
4330M00,veterinárstvo
4330M01,veterinárstvo - veterinárno-asanačné služby
4336M00,veterinárne zdravotníctvo a hygiena
4336M01,veterinárne zdravotníctvo a hygiena - chov hospodárskych zvierat
4336M02,veterinárne zdravotníctvo a hygiena - hygienická a laboratórna služba
4336M03,veterinárne zdravotníctvo a hygiena - chov cudzokrajných zvierat
4336M04,veterinárne zdravotníctvo a hygiena - drobnochov
4336M05,veterinárne zdravotníctvo a hygiena - chov psov
4508L00,rybárstvo a životné prostredie
4511L00,záhradníctvo
4512L00,poľnohospodárstvo
4521L00,lesné hospodárstvo
4526L00,mechanizácia poľnohospodárstva a lesného hospodárstva
4556K00,operátor/operátorka lesnej techniky
5304M00,asistent/asistentka výživy
5308M00,zdravotnícky laborant/zdravotnícka laborantka
5311M00,farmaceutický laborant/farmaceutická laborantka
5312M00,očný optik/očná optička
5314M00,ortopedický technik/ortopedická technička
5356M00,zdravotnícky asistent
5370M00,masér/masérka
5376M00,masér/masérka pre zrakovo hendikepovaných
6317M00,obchodná akadémia
6317M74,obchodná akadémia - bilingválne štúdium
6323K00,hotelová akadémia
6324M00,manažment regionálneho cestovného ruchu
6329M00,obchodné a informačné služby
6329M01,obchodné a informačné služby - medzinárodné obchodné vzťahy
6329M02,obchodné a informačné služby - riadenie podniku
6329M03,obchodné a informačné služby - informatika a informačné systémy
6341M00,škola podnikania
6352M00,obchod a podnikanie
6354M00,služby a súkromné podnikanie
6354M01,služby a súkromné podnikanie - hotelierstvo
6354M02,služby a súkromné podnikanie - ekonomika a prevádzka odievania
6354M03,služby a súkromné podnikanie - ekonomika a prevádzka kozmetiky
6354M04,služby a súkromné podnikanie - marketing
6355M00,služby v cestovnom ruchu
6362M00,kozmetička a vizážistka
6403L00,podnikanie v remeslách a službách
6405K00,pracovník marketingu
6411L00,prevádzka obchodu
6421L00,spoločné stravovanie
6426L00,vlasová kozmetika
6442K00,obchodný pracovník/obchodná pracovníčka
6442K01,obchodný pracovník - potravinársky tovar
6442K02,obchodný pracovník - technický tovar
6442K03,obchodný pracovník - chemický tovar
6442K04,obchodný pracovník - odievanie
6444K00,"čašník, servírka"
6445K00,kuchár
6446K00,kozmetik
7237M00,informačné systémy a služby
7237M01,informačné systémy a služby - knihovníctvo a vedecké informácie
7237M03,informačné systémy a služby - hospodárske informácie
7237M04,informačné systémy a služby - verejné knižnice
7646M00,vychovávateľsko - opatrovateľská činnosť
7649M00,učiteľstvo pre materské školy a vychovávateľstvo
7661M00,sociálno-výchovný pracovník/pracovníčka
7662M00,animátor/animátorka voľného času
7663M00,kultúrno-výchovný pracovník
7902J00,gymnázium
7902J01,gymnázium - matematika
7902J02,gymnázium - matematika a fyzika
7902J05,gymnázium - informatika
7902J10,gymnázium - biológia a chémia
7902J16,gymnázium - ekológia a cudzie jazyky
7902J38,gymnázium - programovanie
7902J70,gymnázium - spoločenskovedné
7902J71,gymnázium - kultúrno-výchovná činnosť
7902J73,gymnázium - cudzie jazyky
7902J74,gymnázium - bilingválne štúdium
7902J76,gymnázium - telesná výchova
7902J78,gymnázium - slovenský jazyk a literatúra
7902J81,gymnázium - umelecká výchova
8221M00,dizajn
8221M05,dizajn - priemyselný dizajn
8221M09,dizajn - fotografický dizajn
8221M11,dizajn - grafický a priestorový dizajn
8221M14,dizajn - odevný dizajn
8222M00,úžitková maľba
8223M00,úžitková fotografia
8227Q00,tanec
8227Q01,tanec - klasický tanec
8227Q02,tanec - ľudový tanec
8233M00,výtvarné spracúvanie kovov a drahých kameňov
8233M01,výtvarné spracúvanie kovov a drahých kameňov - zlatníctvo a strieborníctvo
8233M02,výtvarné spracúvanie kovov a drahých kameňov - umelecké zámočníctvo a kováčstvo
8233M03,výtvarné spracúvanie kovov a drahých kameňov - plošné a plastické rytie kovov
8233M04,výtvarné spracúvanie kovov a drahých kameňov - umelecké odlievanie
8234M00,výtvarné spracúvanie keramiky a porcelánu
8235M00,výtvarné spracúvanie skla
8235M02,výtvarné spracúvanie skla - brúsenie skla
8235M03,výtvarné spracúvanie skla - hutnícke tvarovanie skla
8235M04,výtvarné spracúvanie skla - maľovanie a leptanie skla
8235M07,výtvarné spracúvanie skla - vzorkárstvo sklenej bižutérie
8235M09,výtvarné spracúvanie skla - tvorba drobnej sklenej plastiky
8236M00,textilné výtvarníctvo
8238M00,ručné výtvarné spracúvanie textílií
8240M00,tvorba hračiek a dekoratívnych predmetov
8244M00,modelárstvo a navrhovanie obuvi a módnych doplnkov
8245M00,konzervátorstvo a reštaurátorstvo
8245M01,konzervátorstvo a reštaurátorstvo - drevorezby
8245M02,konzervátorstvo a reštaurátorstvo - kovy
8245M05,konzervátorstvo a reštaurátorstvo - omietky a štuková výzdoba
8247M00,ladenie klavírov
8248M00,kameňosochárstvo
8259M00,animovaná tvorba
8260M00,propagačné výtvarníctvo
8261M00,propagačná grafika
8264M00,konzervátorské a reštaurátorské práce
8267M00,štukatérstvo
8269M00,tvorba nábytku a interiéru
8270M00,scénická kostýmová tvorba
8273M00,scénická dekoračná tvorba a reprodukčná maľba
8278M00,maskérska tvorba
8279M00,dizajn a tvarovanie dreva
8297M00,fotografický dizajn
8298M00,odevný dizajn
8501L00,umeleckoremeselné práce
8503K00,umeleckoremeselné spracúvanie kovov
8503K01,umeleckoremeselné spracúvanie kovov - kováčske a zámočnícke práce
8503K03,umeleckoremeselné spracúvanie kovov - rytecké práce
8503K04,umeleckoremeselné spracúvanie kovov - pasiarske práce
8504K00,umeleckoremeselné spracúvanie dreva
8504K01,umeleckoremeselné spracúvanie dreva - stolárske práce
8504K02,umeleckoremeselné spracúvanie dreva - rezbárske práce
8504K03,umeleckoremeselné spracúvanie dreva - čalúnnické a dekoratérske práce
8227Q03,tanec - moderný tanec
4227M05,vinohradníctvo a ovocinárstvo - someliérstvo
7218M00,masmediálne štúdiá
2684K00,bezpečnostné systémy v doprave a priemysle
2734K00,technik/technička sklárskej výroby
2847M00,technológia kozmetiky a chemických liečiv
3336M06,drevárstvo a nábytkárstvo - výroba hudobných nástrojov
3349K00,technik/technička drevostavieb
3457K00,operátor/operátorka tlače
3795K00,klientsky manažér/manažérka pošty
3920M00,polytechnika
3957M00,multimédiá
4234M00,"podnikanie v chovoch spoločenských, cudzokrajných a malých zvierat"
2447K00,mechanik/mechanička hasičskej techniky
2493L00,predaj a servis vozidiel
2495K00,autotronik
2497K00,mechanik/mechanička automobilových liniek
6476L00,technicko-ekonomický  pracovník/technicko-ekonomická  pracovníčka
8226Q00,hudobno-dramatické umenie
8226Q01,hudobno-dramatické umenie - muzikál
8228Q00,spev
8228Q11,spev - stará hudba
8228Q12,spev - komorná hudba
8229Q00,hudba
8229Q01,hudba - skladba
8229Q02,hudba - dirigovanie
8229Q03,hudba - hra na klavíri
8229Q04,hudba - hra na organe
8229Q05,"hudba-hra na zobcovej flaute, flaute, hoboji, klarinete, fagote, saxofóne, trúbke, lesnom rohu, pozaune, tube a bicích nástrojoch"
8229Q06,"hudba - hra na husliach, viole, violončele, kontrabase, harfe, gitare, cimbale"
8229Q07,hudba - hra na akordeóne
8229Q08,hudba - cirkevná hudba
8229Q09,hudba - hra na ľudových hudobných nástrojoch
8229Q11,hudba - stará hudba
8229Q12,hudba - komorná hudba
8245M09,"konzervátorstvo a reštaurátorstvo - papier, staré tlače a knižné väzby"
8292M00,dizajn exteriéru
6432K00,pracovník v hotelierstve a cestovnom ruchu
7232M00,marketingová komunikácia
8266M00,nástenná maľba v architektúre
3436K00,operátor knihárskych technológií
3918M03,technické lýceum - bilingválne štúdium
4212M00,rybárstvo a vodný manažment
2559M00,inteligentné technológie
2571K00,správca inteligentných a digitálnych systémov
2573M00,programovanie digitálnych technológií
2868K00,technik spracovania plastov
2891K00,technik pre chemický a farmaceutický priemysel
3136K00,procesný technik odevnej výroby
8627M00,digitálna maľba - koncept art
8628M00,dizajn digitálnych aplikácií
6330K00,bankový pracovník
7475M00,digitálne služby v športe
7476M00,spracovanie dát v športe
7902J94,gymnázium - QSI International Program
7902J95,gymnázium - Edexcel International A levels
2958M00,kontrolór/kontrolórka potravín
6327M00,ekonomické a administratívne služby v podnikaní
6463K00,kozmetik - vizážista/kozmetčika - vizážistka
1640M00,ochrana životného prostredia a cirkulárna ekonomika
2232L00,"tvárnenie, odlievanie a úprava kovov"
2233K00,zlievarenský technik/technička
2410K00,"operátor/operátorka výroby, modernizácie a opráv koľajových vozidiel"
3660M00,vodné hospodárstvo
3694K00,technik/technička stavebnej výroby
3695K00,technik/technička stavebnoinštalačných zariadení
3769K00,rušňovodič
3966M00,ochrana osôb a majetku
4339M00,veterinárny asistent/asistentka pre bezpečnosť potravín
7238M00,knižničné a informačné služby
7902J58,gymnázium - filatelistika
8229Q13,hudba - hra na bicích nástrojoch
8229Q14,hudba - hra na cimbale
8229Q15,hudba - hra na fagote
8229Q16,hudba - hra na gitare
8229Q17,hudba - hra na harfe
8229Q18,hudba - hra na hoboji
8229Q19,hudba - hra na husliach
8229Q20,hudba - hra na klarinete
8229Q21,hudba - hra na kontrabase
8229Q22,hudba - hra na lesnom rohu
8229Q23,hudba - hra na pozaune
8229Q24,hudba - hra na priečnej flaute
8229Q25,hudba - hra na saxofóne
8229Q26,hudba - hra na trúbke
8229Q27,hudba - hra na tube
8229Q28,hudba - hra na viole
8229Q29,hudba - hra na violončele
8229Q30,hudba - hra na zobcovej flaute
3667K00,technik vodár vodohospodár/technička vodárka vodohospodárka
4240M00,záhradný dizajn
2174K00,technik mineralurg
2561M00,informačné a sieťové technológie
2567M00,multimédiá
2569M00,informačné a digitálne technológie
3345K00,technik CNC zariadení
3345K01,technik CNC zariadení - drevárska výroba
3345K02,technik CNC zariadení - nábytkárska výroba
4338M00,veterinárny asistent pre ambulancie
4532K00,agromechatronik
6429K00,komerčný fotograf
7670M00,pedagogický asistent/asistentka
7902J96,gymnázium - Francúzsko-slovenský program
7902J97,gymnázium - Cambridge International program
7902J98,gymnázium - Nemecko-slovenský program
7902J99,gymnázium - medzinárodný program International Baccalaureate Diploma (IBD)
8271M00,digitálna maľba - koncept art
8272M00,dizajn digitálnych aplikácií
2950M00,poradenstvo vo výžive
3348M00,tvorba nábytku a interiéru
5361M00,praktická sestra
6858M00,ekonomicko-právne činnosti v podnikaní
7451J00,športové gymnázium
7471M00,športový manažment
8521K00,výtvarné spracúvanie skla
8521K02,výtvarné spracúvanie skla - brúsenie skla
8521K03,výtvarné spracúvanie skla - hutnícke tvarovanie skla
8521K04,výtvarné spracúvanie skla - maľovanie a leptanie skla
8521K07,výtvarné spracúvanie skla - vzorkárstvo sklenej bižutérie
8521K11,výtvarné spracúvanie skla - výroba sklenej vitráže
8523K00,tvorba vitrážového skla a smaltu
8539K00,ladenie a údržba klavírov a klávesových nástrojov
8602M00,priemyselný dizajn
8603M00,grafický a priestorový dizajn
8604M00,grafický dizajn
8606M00,fotografický dizajn
8609M00,textilný dizajn
8610M00,odevný dizajn
8613M00,dizajn exteriéru
8614M00,dizajn interiéru
8616M00,dizajn a tvarovanie dreva
8619M00,keramický dizajn
8630M00,animovaná tvorba
8633M00,reklamná tvorba
8635M00,masmediálna tvorba
8637M00,obrazová a zvuková tvorba
8637M01,"obrazová a zvuková tvorba - kamera, zvuk, strih"
8637M02,obrazová a zvuková tvorba - umelecká produkcia
8637M03,obrazová a zvuková tvorba - virtuálna grafika
8641M00,propagačné výtvarníctvo
8642M00,scénické výtvarníctvo
8642M01,scénické výtvarníctvo - kostýmová tvorba
8642M02,scénické výtvarníctvo - maľba a dekoračná tvorba
8642M04,scénické výtvarníctvo - maskérska tvorba
8642M05,scénické výtvarníctvo - tvarovanie dreva
8642M06,scénické výtvarníctvo - tvorba a konštrukcia scény
8644M00,úžitková maľba
8646M00,tvorba hračiek a dekoratívnych predmetov
8651M00,konzervátorstvo a reštaurátorstvo
8651M01,konzervátorstvo a reštaurátorstvo - drevorezieb
8651M02,konzervátorstvo a reštaurátorstvo - kovov
8651M05,konzervátorstvo a reštaurátorstvo - omietky a štuková výzdoba
8651M07,konzervátorstvo a reštaurátorstvo - maliarske techniky
8651M09,"konzervátorstvo a reštaurátorstvo - papier, staré tlače a knižné väzby"
8656M00,kameňosochárstvo
8658M00,štukatérstvo
8661M00,výtvarné spracúvanie kovov a drahých kameňov
8661M01,výtvarné spracúvanie kovov a drahých kameňov - zlatníctvo a strieborníctvo
8661M02,výtvarné spracúvanie kovov a drahých kameňov - umelecké zámočníctvo a kováčstvo
8661M03,výtvarné spracúvanie kovov a drahých kameňov - plošné a plastické rytie kovov
8661M04,výtvarné spracúvanie kovov a drahých kameňov - umelecké odlievanie
